Unnamed: 0,cluster_label,silhouette_score,davies_bouldin_score,calinski_harabasz_score,clusters_in_window,win_eps,min_dist_between_points,min_dist_between_centroids,max_dist_in_cluster,min_dist_in_cluster,first_timestamp,last_timestamp,win_number,cluster_size,points,Selected EPS,new_cluster_label,avg_height,turn_rate,bearing,trajectory_curvature,angular_acceleration,angular_velocity,distance_traveled,displacement,jerk,vertical_acceleration,up_down_direction,angle_to_horizon,average_speed,average_velocity_magnitude,average_velocity_direction
17,2.0,-0.1365681040594806,9.813498042045666,1.6525332667674608,4.0,261.7377778908257,206.5542781497225,261.7377778908257,172.8902359699987,0.0,2023-04-28 11:07:54,2023-04-28 11:26:53,5,15.0,"[[1682680074.0, -6.4810728, 37.428992, 149.83], [1682680134.0, -6.4796532, 37.4292256, 156.54], [1682680194.0, -6.4792476, 37.4293824, 118.84], [1682680254.0, -6.4794372, 37.4294496, 108.06], [1682680314.0, -6.479438, 37.4294368, 134.26], [1682680374.0, -6.4794448, 37.4292768, 78.63], [1682680434.0, -6.479168, 37.4293376, 161.0], [1682680494.0, -6.4793476, 37.4294432, 140.84], [1682680577.0, -6.4794456, 37.42952, 139.11], [1682680614.0, -6.4794172, 37.429408, 139.1], [1682680734.0, -6.47943, 37.4294464, 139.3], [1682680854.0, -6.4792816, 37.4294624, 139.35], [1682680973.0, -6.4795536, 37.4294816, 141.52], [1682681093.0, -6.4793972, 37.4294816, 135.76], [1682681213.0, -6.4794292, 37.4294464, 130.0]]",261.7377778908257,0,134.14266666666666,1897.1872727233122,190.98577138093378,-3.242224308941069,-577.151534998758,450.8230759621126,492.6638495791439,154.9486607058541,40136.893784034015,-17.616310689042823,-0.04761904761904762,-7.681285548965205,553.6817041790208,553.6817041790208,190.98577138093378
18,0.0,0.2234487668358583,0.4767584427954294,2.076552488903223,2.0,200.0,inf,inf,189.2800097106569,0.0,2023-04-28 11:07:54,2023-04-28 11:35:53,6,21.0,"[[1682680074.0, -6.4810728, 37.428992, 149.83], [1682680134.0, -6.4796532, 37.4292256, 156.54], [1682680194.0, -6.4792476, 37.4293824, 118.84], [1682680254.0, -6.4794372, 37.4294496, 108.06], [1682680314.0, -6.479438, 37.4294368, 134.26], [1682680374.0, -6.4794448, 37.4292768, 78.63], [1682680434.0, -6.479168, 37.4293376, 161.0], [1682680494.0, -6.4793476, 37.4294432, 140.84], [1682680577.0, -6.4794456, 37.42952, 139.11], [1682680614.0, -6.4794172, 37.429408, 139.1], [1682680734.0, -6.47943, 37.4294464, 139.3], [1682680854.0, -6.4792816, 37.4294624, 139.35], [1682680973.0, -6.4795536, 37.4294816, 141.52], [1682681093.0, -6.4793972, 37.4294816, 135.76], [1682681213.0, -6.4794292, 37.4294464, 130.0], [1682681333.0, -6.4794644, 37.4295008, 124.83], [1682681453.0, -6.4794548, 37.429456, 139.05], [1682681574.0, -6.4804548, 37.4292384, 128.94], [1682681634.0, -6.4812208, 37.4290528, 141.0], [1682681694.0, -6.4811412, 37.4290272, 129.82], [1682681753.0, -6.48113, 37.4290176, 93.57]]",200.0,1,131.87380952380957,1604.0626487430452,196.6945196800628,-2.112372865346201,-353.9402039488116,223.16306405757342,729.9357200196393,56.557945877203544,40575.85479605053,-42.72527574912742,-0.2,-8.836515364730015,537.271541479676,537.271541479676,196.6945196800628
19,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,184.35258576616096,0.0,2023-04-28 11:16:54,2023-04-28 11:44:53,7,18.0,"[[1682680614.0, -6.4794172, 37.429408, 139.1], [1682680734.0, -6.47943, 37.4294464, 139.3], [1682680854.0, -6.4792816, 37.4294624, 139.35], [1682680973.0, -6.4795536, 37.4294816, 141.52], [1682681093.0, -6.4793972, 37.4294816, 135.76], [1682681213.0, -6.4794292, 37.4294464, 130.0], [1682681333.0, -6.4794644, 37.4295008, 124.83], [1682681453.0, -6.4794548, 37.429456, 139.05], [1682681574.0, -6.4804548, 37.4292384, 128.94], [1682681634.0, -6.4812208, 37.4290528, 141.0], [1682681694.0, -6.4811412, 37.4290272, 129.82], [1682681753.0, -6.48113, 37.4290176, 93.57], [1682681814.0, -6.4812928, 37.429024, 147.8], [1682681873.0, -6.4812676, 37.4290272, 125.2], [1682681934.0, -6.4810268, 37.4289664, 136.72], [1682682053.0, -6.4810616, 37.4289824, 134.23], [1682682173.0, -6.4811396, 37.4290496, 132.23], [1682682293.0, -6.481196, 37.4290848, 154.92]]",200.0,2,134.07444444444442,1343.0995221359137,215.0230356632642,-1.8655592490394608,227.0085658705416,7.353898755560266,443.78716839177775,161.90248207134394,8807.666016432988,9.573633178540483,-0.08496732026143793,-5.461196132482744,327.47962266952396,327.47962266952396,215.0230356632642
20,0.0,0.6588898674207281,0.6095052257388192,35.950862933111054,2.0,200.0,inf,inf,479.6872880584153,0.0,2023-04-28 11:28:53,2023-04-28 11:55:53,8,16.0,"[[1682681333.0, -6.4794644, 37.4295008, 124.83], [1682681453.0, -6.4794548, 37.429456, 139.05], [1682681574.0, -6.4804548, 37.4292384, 128.94], [1682681634.0, -6.4812208, 37.4290528, 141.0], [1682681694.0, -6.4811412, 37.4290272, 129.82], [1682681753.0, -6.48113, 37.4290176, 93.57], [1682681814.0, -6.4812928, 37.429024, 147.8], [1682681873.0, -6.4812676, 37.4290272, 125.2], [1682681934.0, -6.4810268, 37.4289664, 136.72], [1682682053.0, -6.4810616, 37.4289824, 134.23], [1682682173.0, -6.4811396, 37.4290496, 132.23], [1682682293.0, -6.481196, 37.4290848, 154.92], [1682682430.0, -6.4810868, 37.4290016, 133.52], [1682682534.0, -6.4807028, 37.4274208, 134.3], [1682682594.0, -6.4807028, 37.4262464, 133.75], [1682682953.0, -6.4775864, 37.429776, 115.36]]",200.0,3,131.5775,1213.631676818895,188.8113854258784,0.7619689373661978,-62.816924532082794,-137.0743206055767,1185.4348369168276,168.89278844912488,-3674.497923774349,4.827986463192323,0.049999999999999996,-3.570535514330899,691.7531993265244,691.7531993265244,188.8113854258784
22,1.0,-0.0532878593542127,8.702435851270932,9.318503143285657,3.0,315.12511430019003,271.9944234304099,315.12511430019003,63.04689420560025,0.0,2023-04-28 11:55:53,2023-04-28 12:06:53,9,12.0,"[[1682682953.0, -6.4775864, 37.429776, 115.36], [1682683016.0, -6.47797, 37.4298592, 133.78], [1682683073.0, -6.478004, 37.4298656, 134.38], [1682683134.0, -6.4780784, 37.4299008, 139.22], [1682683193.0, -6.4777952, 37.4297568, 120.46], [1682683254.0, -6.4775524, 37.4296224, 131.32], [1682683314.0, -6.4778408, 37.4297984, 148.5], [1682683375.0, -6.4778244, 37.4297568, 138.51], [1682683434.0, -6.4778652, 37.4298208, 146.67], [1682683493.0, -6.4781752, 37.4298912, 138.89], [1682683554.0, -6.477934, 37.4298592, 142.86], [1682683613.0, -6.4777684, 37.4298048, 140.49]]",315.12511430019003,4,135.87000000000003,1567.4499002640766,219.8305966657657,-0.6146943293337658,25.503715463160308,-297.9946839308415,241.67558559712023,30.00058443285476,14151.401830109577,36.02129189451694,0.4848484848484848,5.695401473912926,364.17997959046437,364.17997959046437,219.8305966657657
24,1.0,-0.0381633582098574,1.3678689650902789,8.627737091271577,3.0,363.47649847928216,275.5204278150213,363.47649847928216,63.04689420560025,0.0,2023-04-28 11:55:53,2023-04-28 12:16:53,10,17.0,"[[1682682953.0, -6.4775864, 37.429776, 115.36], [1682683016.0, -6.47797, 37.4298592, 133.78], [1682683073.0, -6.478004, 37.4298656, 134.38], [1682683134.0, -6.4780784, 37.4299008, 139.22], [1682683193.0, -6.4777952, 37.4297568, 120.46], [1682683254.0, -6.4775524, 37.4296224, 131.32], [1682683314.0, -6.4778408, 37.4297984, 148.5], [1682683375.0, -6.4778244, 37.4297568, 138.51], [1682683434.0, -6.4778652, 37.4298208, 146.67], [1682683493.0, -6.4781752, 37.4298912, 138.89], [1682683554.0, -6.477934, 37.4298592, 142.86], [1682683613.0, -6.4777684, 37.4298048, 140.49], [1682683733.0, -6.4778072, 37.4298432, 143.11], [1682683853.0, -6.4777612, 37.429776, 144.63], [1682683973.0, -6.4779648, 37.4298912, 145.76], [1682684093.0, -6.4777584, 37.4298048, 138.87], [1682684213.0, -6.4778908, 37.4298528, 148.31]]",363.47649847928216,5,138.30117647058822,1663.2146836168642,225.54197870935437,-0.24027328196179182,-6.386095826836936,22.406801718513453,316.1577747652759,43.371424143638464,10819.851012564735,28.83755484414705,0.5147058823529411,6.9957430868206725,289.1665428268587,289.1665428268587,225.54197870935437
25,0.0,0.4955728625905746,1.196631321638639,7.743958452534046,2.0,200.0,inf,inf,329.0531420570644,0.0,2023-04-28 11:56:56,2023-04-28 12:25:54,11,22.0,"[[1682683016.0, -6.47797, 37.4298592, 133.78], [1682683073.0, -6.478004, 37.4298656, 134.38], [1682683134.0, -6.4780784, 37.4299008, 139.22], [1682683193.0, -6.4777952, 37.4297568, 120.46], [1682683254.0, -6.4775524, 37.4296224, 131.32], [1682683314.0, -6.4778408, 37.4297984, 148.5], [1682683375.0, -6.4778244, 37.4297568, 138.51], [1682683434.0, -6.4778652, 37.4298208, 146.67], [1682683493.0, -6.4781752, 37.4298912, 138.89], [1682683554.0, -6.477934, 37.4298592, 142.86], [1682683613.0, -6.4777684, 37.4298048, 140.49], [1682683733.0, -6.4778072, 37.4298432, 143.11], [1682683853.0, -6.4777612, 37.429776, 144.63], [1682683973.0, -6.4779648, 37.4298912, 145.76], [1682684093.0, -6.4777584, 37.4298048, 138.87], [1682684213.0, -6.4778908, 37.4298528, 148.31], [1682684333.0, -6.4786224, 37.4295936, 121.68], [1682684394.0, -6.4795732, 37.4295808, 138.48], [1682684453.0, -6.4792932, 37.4295264, 134.57], [1682684514.0, -6.479262, 37.4294624, 133.95], [1682684574.0, -6.4792876, 37.4295264, 140.6], [1682684754.0, -6.4812196, 37.4291008, 138.81]]",200.0,6,138.35681818181817,1681.5672819875595,223.70663634937583,0.4547968183304144,-100.37867140530342,-3.865225864816034,658.1780242516305,299.1178400086296,17816.49498845621,11.760326787918508,0.07359307359307359,4.6900163270006265,368.7232872014105,368.7232872014105,223.70663634937583
26,0.0,0.3666151274145136,0.5411002351839269,8.782456729102467,2.0,467.9753055022487,245.5454227878685,467.9753055022487,315.49052133990165,0.0,2023-04-28 12:08:53,2023-04-28 12:29:58,12,16.0,"[[1682683733.0, -6.4778072, 37.4298432, 143.11], [1682683853.0, -6.4777612, 37.429776, 144.63], [1682683973.0, -6.4779648, 37.4298912, 145.76], [1682684093.0, -6.4777584, 37.4298048, 138.87], [1682684213.0, -6.4778908, 37.4298528, 148.31], [1682684333.0, -6.4786224, 37.4295936, 121.68], [1682684394.0, -6.4795732, 37.4295808, 138.48], [1682684453.0, -6.4792932, 37.4295264, 134.57], [1682684514.0, -6.479262, 37.4294624, 133.95], [1682684574.0, -6.4792876, 37.4295264, 140.6], [1682684692.0, -6.4792648, 37.4275904, 136.55], [1682684754.0, -6.4812196, 37.4291008, 138.81], [1682684815.0, -6.4808536, 37.4288736, 152.74], [1682684876.0, -6.4810692, 37.4290048, 156.42], [1682684938.0, -6.4793436, 37.4294976, 150.82], [1682684998.0, -6.4794144, 37.4291488, 146.25]]",467.9753055022487,7,141.971875,1941.3702865092987,211.85072928809066,1.2549095590714512,353.5589920033252,-99.49573830277313,998.361848649335,161.5919254636876,10412.916248755475,17.036904765461458,0.18333333333333335,3.6884093406806033,894.8119773232232,894.8119773232232,211.85072928809066
28,0.0,0.0700938223782364,1.9359538687498,2.87542471230858,2.0,480.2748040267953,245.5454227878685,480.2748040267953,370.6314905561301,0.0,2023-04-28 12:18:53,2023-04-28 12:46:53,13,18.0,"[[1682684333.0, -6.4786224, 37.4295936, 121.68], [1682684394.0, -6.4795732, 37.4295808, 138.48], [1682684453.0, -6.4792932, 37.4295264, 134.57], [1682684514.0, -6.479262, 37.4294624, 133.95], [1682684574.0, -6.4792876, 37.4295264, 140.6], [1682684692.0, -6.4792648, 37.4275904, 136.55], [1682684754.0, -6.4812196, 37.4291008, 138.81], [1682684815.0, -6.4808536, 37.4288736, 152.74], [1682684876.0, -6.4810692, 37.4290048, 156.42], [1682684938.0, -6.4793436, 37.4294976, 150.82], [1682684998.0, -6.4794144, 37.4291488, 146.25], [1682685653.0, -6.4812232, 37.4290688, 129.57], [1682685713.0, -6.4810344, 37.429104, 149.81], [1682685773.0, -6.4810352, 37.4290464, 146.67], [1682685834.0, -6.4811164, 37.4290496, 136.34], [1682685893.0, -6.481978, 37.4286048, 149.74], [1682685953.0, -6.4826608, 37.4286944, 136.24], [1682686013.0, -6.482482, 37.4286624, 134.95]]",480.2748040267953,8,140.7883333333333,1960.3381008599508,204.62687697192914,0.953330838094097,-145.35526738877033,-57.17231798629808,1231.9687003138292,356.4343710230069,44403.17869067954,29.702684572529943,0.12418300653594773,0.5108699080944734,947.2400778711462,947.2400778711462,204.62687697192914
30,0.0,-0.2178657117152431,1.5055899654479084,0.3092428534800736,2.0,200.0,inf,inf,603.9720321192809,0.0,2023-04-28 12:26:55,2023-04-28 12:56:00,14,25.0,"[[1682684815.0, -6.4808536, 37.4288736, 152.74], [1682684876.0, -6.4810692, 37.4290048, 156.42], [1682684938.0, -6.4793436, 37.4294976, 150.82], [1682684998.0, -6.4794144, 37.4291488, 146.25], [1682685077.0, -6.477912, 37.4251968, 128.33], [1682685114.0, -6.4781356, 37.4252512, 129.51], [1682685173.0, -6.4782796, 37.4255264, 129.41], [1682685292.0, -6.4774764, 37.425152, 129.33], [1682685414.0, -6.4778716, 37.4252384, 138.04], [1682685537.0, -6.4778756, 37.425152, 147.97], [1682685653.0, -6.4812232, 37.4290688, 129.57], [1682685713.0, -6.4810344, 37.429104, 149.81], [1682685773.0, -6.4810352, 37.4290464, 146.67], [1682685834.0, -6.4811164, 37.4290496, 136.34], [1682685893.0, -6.481978, 37.4286048, 149.74], [1682685953.0, -6.4826608, 37.4286944, 136.24], [1682686013.0, -6.482482, 37.4286624, 134.95], [1682686075.0, -6.4824556, 37.4285952, 143.24], [1682686133.0, -6.4823456, 37.4285824, 140.91], [1682686266.0, -6.4793828, 37.4294496, 119.63], [1682686319.0, -6.4795312, 37.4295552, 119.63], [1682686381.0, -6.4794124, 37.4295072, 119.66], [1682686440.0, -6.479496, 37.4291808, 119.71], [1682686500.0, -6.47934, 37.4274336, 119.79], [1682686560.0, -6.47898, 37.4271264, 119.77]]",200.0,9,135.7792,1567.7000555856664,195.06977465105606,-0.08835172086044639,283.72113077004775,-227.5866996747544,2224.7539510883257,257.2991028442789,-77440.78413353997,-11.576028312024002,-0.40400724079297756,1.3504086966098257,1146.8354155226637,1146.8354155226637,195.06977465105606
