setting,mean,median,std,min,max
Dynamic Overlap,4.982158476623762e-13,12.430029143098068,99.88217549532837,-311.6716177166081,209.23008288833535
No Overlap Static,4.475365552402431e-10,28.871189376979828,164.26012980822958,-398.7118410617986,361.4302643069892
Static Overlap,1.5767026899779655e-10,28.882821093385644,191.32906260738218,-645.0109982865168,441.6929687585431
