avg_height,turn_rate,bearing,trajectory_curvature,angular_acceleration,angular_velocity,distance_traveled,displacement,jerk,vertical_acceleration,up_down_direction,angle_to_horizon,average_speed,average_velocity_magnitude,average_velocity_direction,new_cluster_label,matches_white_storks
667.3,544.9619270105974,171.08474411845995,-8.168891227101268,-112.68259217159189,-26.579738802898394,68.37099251470976,6.0144847927623495,1.0564806715221309,-1.7081797603885545,-0.14193843787544,-5.866684501363729,19.1614234006706,19.1614234006706,171.08474411845995,0,False
666.9499999999999,649.9864493214018,165.48629568749516,0.5865271071560315,-168.56931829476463,-62.84682646834631,70.96734372865303,3.762174076359497,33.87715457212635,0.18498993741919084,0.0606060606060606,-0.4316006951425816,21.505120106582538,21.505120106582538,165.48629568749516,1,False
665.44,764.9599786765039,144.01364340463104,18.069411595962205,-205.24156394472234,4.001918871410879,95.20681258916774,7.130861434998501,-31.291671449427504,0.10996197453184209,-0.1111111111111111,6.732344961655095,35.207183801109466,35.207183801109466,144.01364340463104,2,False
663.9499999999999,900.9249212009282,135.14552842716176,35.73091901459174,-593.6343864087017,28.347993109872675,72.53417252871587,7.261333305372604,-136.96195503358737,0.020818475123135727,-0.06666666666666665,8.582565830028106,48.276963561860555,48.276963561860555,135.14552842716176,3,False
641.925,28.73485220758437,180.4527708723016,0.1117043096102397,57.09676612320051,27.39236073363512,240.32689441553032,237.1122339784337,679.8492296752383,-5.111019752071215,0.0,-1.3579536561076344,266.9610869138402,266.9610869138402,180.4527708723016,4,False
643.7874999999999,43.94941021110379,185.19935415897925,0.11345995268067306,8.33470914414509,18.17263025830636,414.5759718680864,406.1073907808501,-167.01851636266593,2.3207152037139482,0.2545875386086578,0.06123284667257537,197.3417497146857,197.3417497146857,185.19935415897925,5,False
644.175,55.94931201794734,189.98279528116794,0.1106017594560641,17.97692657309978,16.251393496059684,511.6451773300845,494.75125110562607,36.98345006542066,2.5372221307509766,0.10687334289668038,1.0935989097959102,155.02185169388542,155.02185169388542,189.98279528116794,6,False
647.35,68.16592644103592,187.27305119594286,-0.15805811587041346,-7.652862860716316,-3.4174173816972484,334.05946077122854,311.9153386222702,-32.8655221613377,2.2144407665135875,0.41222575117291005,1.5106113993801913,101.33036818609098,101.33036818609098,187.27305119594286,7,False
651.3333333333334,106.99991586882038,174.19404358774412,-0.36276240453156944,-17.102772590658574,-14.997939982187887,335.45145250973036,280.82615097753103,-86.97719167945343,2.7781180733657944,0.7481134002767627,4.707894898099017,101.65716185086954,101.65716185086954,174.19404358774412,8,False
655.35,103.35160332646592,163.3907714197177,-0.15354513979893775,18.103264112912353,2.866553914111485,399.7799867909847,356.1706358815577,102.46715813844789,5.149872329862756,0.5038314736557788,4.372926690849763,120.98678598363978,120.98678598363978,163.3907714197177,9,False
655.0833333333333,86.7595514263916,162.6621940228492,0.09366625766680514,-23.882815853651316,13.30220895404734,457.1571620236723,413.3193340152916,219.82632107882637,-5.66275549174215,-0.0303030303030303,-2.457175505734826,137.38716497262587,137.38716497262587,162.6621940228492,10,False
654.3249999999999,60.09733792778932,180.256511290384,0.06689838421861687,-10.284767753462896,20.535545923548234,417.2309670196794,381.6951236374264,-43.03374028184771,1.2345417998542174,0.1212121212121212,-0.09262818694137015,126.77529173398793,126.77529173398793,180.256511290384,11,False
653.1750000000001,53.90019789462046,183.11483757819167,-0.15042057612630597,-2.6101103809622055,-6.267579394523805,322.7158260565558,296.52057582766196,-55.452962432013436,4.652278490698638,0.10687334289668038,0.3264126120554148,98.46503645461404,98.46503645461404,183.11483757819167,12,False
652.9583333333334,276.44382570039835,200.34174917761612,1.548319195985962,107.03110200314813,56.056851006701166,242.22006610284373,173.44616890559297,108.26288973390933,-0.3659595409082295,-0.4242424242424242,-0.44408568168587803,73.44409541339627,73.44409541339627,200.34174917761612,13,False
652.4,320.8681775321792,199.56791636552555,0.156981809646406,-14.68386951973586,-14.27336362084869,234.44752725371072,116.96410929050977,-12.773679552422436,-0.8299337085967722,-0.1818181818181818,-1.0468907732543726,71.19404549070303,71.19404549070303,199.56791636552555,14,False
651.125,469.03273590608717,190.39102945658075,1.21447391676708,122.51830846352479,-1.9799421087507256,233.59770646820212,29.7001786904959,64.3529159297189,1.3980348612925988,0.0,2.9846495013892165,70.89814334910993,70.89814334910993,190.39102945658075,15,False
651.2583333333333,332.7828895658229,153.0147559288768,-0.5111804816062835,40.83456847703381,-47.74204642377621,227.24465254499646,53.90173396406734,17.787733786241315,-2.701661282415027,-0.2424242424242424,-1.6268923901909462,68.83865293922831,68.83865293922831,153.0147559288768,16,False
650.8000000000001,321.8681060170587,179.6189536423763,0.35932911081576807,86.0114256255733,-50.13264317343419,174.31201039065857,41.7130004263049,199.45905159318065,1.8552308475953148,0.39393939393939387,0.9656249638084069,52.90888562688169,52.90888562688169,179.6189536423763,17,False
651.5666666666667,413.1143145412396,168.53103638793328,-1.0368757989651498,-42.063652740436254,-51.425824443542524,178.53577490056986,31.887870137324832,-12.189333522073772,-0.1361160346882392,0.22901430620717222,-1.2815861030076816,54.02028700265787,54.02028700265787,168.53103638793328,18,False
652.3166666666667,360.99943250161897,184.12246444274916,-0.019265638604849967,1.0898879072255359,-11.85548766350789,282.13353755756134,149.83714977502518,86.1232881544442,1.2447883005475413,0.1563263498701806,0.44842227122312345,85.3834063851168,85.3834063851168,184.12246444274916,19,False
