,Dynamic Overlap,Static Overlap,No Overlap Static
avg_height,74.97565725413826,73.55679702048417,73.55679702048417
turn_rate,0.0,0.0,0.0
bearing,100.0,100.0,100.0
trajectory_curvature,2.044790652385589,2.4208566108007448,2.4208566108007448
angular_acceleration,0.0,0.0,0.0
angular_velocity,0.19474196689386564,0.37243947858473,0.37243947858473
distance_traveled,1.2658227848101267,2.2346368715083798,2.2346368715083798
displacement,1.071080817916261,2.0484171322160147,2.0484171322160147
jerk,0.0,0.0,0.0
vertical_acceleration,15.579357351509252,20.48417132216015,20.48417132216015
up_down_direction,100.0,100.0,100.0
angle_to_horizon,85.19961051606622,94.59962756052141,94.59962756052141
average_speed,29.990262901655306,29.7951582867784,29.7951582867784
average_velocity_magnitude,29.990262901655306,29.7951582867784,29.7951582867784
average_velocity_direction,100.0,100.0,100.0
