epoch,timestamp,location-long,location-lat,height-above-msl
1682683613,2023-04-28 12:06:53,-6.4777684,37.4298048,140.49
1682683733,2023-04-28 12:08:53,-6.4778072,37.4298432,143.11
1682683853,2023-04-28 12:10:53,-6.4777612,37.429776,144.63
1682683973,2023-04-28 12:12:53,-6.4779648,37.4298912,145.76
1682684093,2023-04-28 12:14:53,-6.4777584,37.4298048,138.87
1682684213,2023-04-28 12:16:53,-6.4778908,37.4298528,148.31
1682684333,2023-04-28 12:18:53,-6.4786224,37.4295936,121.68
1682684394,2023-04-28 12:19:54,-6.4795732,37.4295808,138.48
1682684453,2023-04-28 12:20:53,-6.4792932,37.4295264,134.57
1682684514,2023-04-28 12:21:54,-6.479262,37.4294624,133.95
1682684574,2023-04-28 12:22:54,-6.4792876,37.4295264,140.6
1682684692,2023-04-28 12:24:52,-6.4792648,37.4275904,136.55
1682684754,2023-04-28 12:25:54,-6.4812196,37.4291008,138.81
1682684815,2023-04-28 12:26:55,-6.4808536,37.4288736,152.74
1682684876,2023-04-28 12:27:56,-6.4810692,37.4290048,156.42
1682684938,2023-04-28 12:28:58,-6.4793436,37.4294976,150.82
1682684998,2023-04-28 12:29:58,-6.4794144,37.4291488,146.25
1682685077,2023-04-28 12:31:17,-6.477912,37.4251968,128.33
1682685114,2023-04-28 12:31:54,-6.4781356,37.4252512,129.51
1682685173,2023-04-28 12:32:53,-6.4782796,37.4255264,129.41
1682685292,2023-04-28 12:34:52,-6.4774764,37.425152,129.33
1682685414,2023-04-28 12:36:54,-6.4778716,37.4252384,138.04
1682685537,2023-04-28 12:38:57,-6.4778756,37.425152,147.97
1682685653,2023-04-28 12:40:53,-6.4812232,37.4290688,129.57
1682685713,2023-04-28 12:41:53,-6.4810344,37.429104,149.81
1682685773,2023-04-28 12:42:53,-6.4810352,37.4290464,146.67
1682685834,2023-04-28 12:43:54,-6.4811164,37.4290496,136.34
1682685893,2023-04-28 12:44:53,-6.481978,37.4286048,149.74
1682685953,2023-04-28 12:45:53,-6.4826608,37.4286944,136.24
1682686013,2023-04-28 12:46:53,-6.482482,37.4286624,134.95
1682686075,2023-04-28 12:47:55,-6.4824556,37.4285952,143.24
1682686133,2023-04-28 12:48:53,-6.4823456,37.4285824,140.91
1682686193,2023-04-28 12:49:53,-6.4823392,37.431312,142.69
1682686266,2023-04-28 12:51:06,-6.4793828,37.4294496,119.63
1682686319,2023-04-28 12:51:59,-6.4795312,37.4295552,119.63
1682686381,2023-04-28 12:53:01,-6.4794124,37.4295072,119.66
1682686440,2023-04-28 12:54:00,-6.479496,37.4291808,119.71
1682686500,2023-04-28 12:55:00,-6.47934,37.4274336,119.79
1682686560,2023-04-28 12:56:00,-6.47898,37.4271264,119.77
1682686620,2023-04-28 12:57:00,-6.4795352,37.4295488,119.79
1682686680,2023-04-28 12:58:00,-6.4797816,37.4296192,119.78
1682686740,2023-04-28 12:59:00,-6.4800812,37.4292576,119.83
1682686799,2023-04-28 12:59:59,-6.4813952,37.429152,119.75
1682686860,2023-04-28 13:01:00,-6.4812544,37.4290464,119.75
1682686919,2023-04-28 13:01:59,-6.4809948,37.4290304,119.81
1682686981,2023-04-28 13:03:01,-6.4810948,37.4289792,119.77
1682687099,2023-04-28 13:04:59,-6.4813928,37.4290848,119.76
1682687219,2023-04-28 13:06:59,-6.4796036,37.4295296,119.79
1682687339,2023-04-28 13:08:59,-6.4825784,37.4285344,117.45
1682687461,2023-04-28 13:11:01,-6.482376,37.4285856,122.81
1682687584,2023-04-28 13:13:04,-6.481976,37.4283968,139.41
1682687725,2023-04-28 13:15:25,-6.4816328,37.4282464,134.13
1682687837,2023-04-28 13:17:17,-6.4826708,37.42864,134.12
1682687933,2023-04-28 13:18:53,-6.482676,37.4286464,134.13
1682688052,2023-04-28 13:20:52,-6.482542,37.4285632,134.29
1682688172,2023-04-28 13:22:52,-6.4826816,37.4286496,130.94
1682688293,2023-04-28 13:24:53,-6.483128,37.4286304,103.19
1682688413,2023-04-28 13:26:53,-6.4827528,37.4286336,104.24
