Unnamed: 0,cluster_label,silhouette_score,davies_bouldin_score,calinski_harabasz_score,clusters_in_window,win_eps,min_dist_between_points,min_dist_between_centroids,max_dist_in_cluster,min_dist_in_cluster,first_timestamp,last_timestamp,win_number,cluster_size,points,Selected EPS,new_cluster_label,avg_height,turn_rate,bearing,trajectory_curvature,angular_acceleration,angular_velocity,distance_traveled,displacement,jerk,vertical_acceleration,up_down_direction,angle_to_horizon,average_speed,average_velocity_magnitude,average_velocity_direction
6,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,66.19322718817848,0.0,2014-06-20 12:39:50,2014-06-20 13:06:46,2189,10.0,"[[1403267990.0, 2.9753575, 51.2078165, 6.0], [1403268166.0, 2.9749806, 51.2080493, 10.0], [1403268343.0, 2.9751264, 51.2080913, 29.0], [1403268519.0, 2.9751293, 51.2079601, 59.0], [1403268694.0, 2.9753258, 51.2079711, 26.0], [1403268869.0, 2.9752054, 51.2083074, 15.0], [1403269071.0, 2.9755281, 51.2081814, 44.0], [1403269254.0, 2.9750397, 51.2082575, 2.0], [1403269430.0, 2.9750823, 51.2082257, 7.0], [1403269606.0, 2.9750723, 51.2082671, 7.0]]",200.0,0,20.5,1021.7172085808726,209.8497981140541,3.7331275084222906,395.35990084913914,14.929407265045697,273.558391626367,53.90906483715951,504.8479247635969,-0.9374299838854054,-0.13483997249264842,7.330728617123487,168.38245695865746,168.38245695865746,209.8497981140541
7,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,164.4866227191395,0.0,2014-06-20 12:48:39,2014-06-20 13:15:35,2190,10.0,"[[1403268519.0, 2.9751293, 51.2079601, 59.0], [1403268694.0, 2.9753258, 51.2079711, 26.0], [1403268869.0, 2.9752054, 51.2083074, 15.0], [1403269071.0, 2.9755281, 51.2081814, 44.0], [1403269254.0, 2.9750397, 51.2082575, 2.0], [1403269430.0, 2.9750823, 51.2082257, 7.0], [1403269606.0, 2.9750723, 51.2082671, 7.0], [1403269781.0, 2.9769612, 51.2088121, 18.0], [1403269959.0, 2.9749271, 51.2082962, 8.0], [1403270135.0, 2.9748243, 51.208204, 0.0]]",200.0,1,18.6,1054.1436147989875,206.4119919732226,-3.270679166914,-220.37598294263393,82.61296669937356,494.39655564484167,68.32248369429803,-3507.932949372774,-38.637833187050006,-0.49441323247304414,-5.625064848356029,307.3165423600518,307.3165423600518,206.4119919732226
8,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,164.4866227191395,0.0,2014-06-20 12:57:51,2014-06-20 13:24:53,2191,10.0,"[[1403269071.0, 2.9755281, 51.2081814, 44.0], [1403269254.0, 2.9750397, 51.2082575, 2.0], [1403269430.0, 2.9750823, 51.2082257, 7.0], [1403269606.0, 2.9750723, 51.2082671, 7.0], [1403269781.0, 2.9769612, 51.2088121, 18.0], [1403269959.0, 2.9749271, 51.2082962, 8.0], [1403270135.0, 2.9748243, 51.208204, 0.0], [1403270345.0, 2.975032, 51.208249, 8.0], [1403270518.0, 2.97503, 51.2082306, 12.0], [1403270693.0, 2.9750183, 51.2082529, 14.0]]",200.0,2,12.0,889.0049947094949,211.12736084638388,-0.001294467441927516,228.1060296594755,34.94833153792372,404.55842780195314,47.164161245958844,988.3227680355883,-18.581231875941725,0.15913201254311046,7.65472442638228,251.8147630479583,251.8147630479583,211.12736084638388
9,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,164.4866227191395,0.0,2014-06-20 13:09:41,2014-06-20 13:36:38,2192,10.0,"[[1403269781.0, 2.9769612, 51.2088121, 18.0], [1403269959.0, 2.9749271, 51.2082962, 8.0], [1403270135.0, 2.9748243, 51.208204, 0.0], [1403270345.0, 2.975032, 51.208249, 8.0], [1403270518.0, 2.97503, 51.2082306, 12.0], [1403270693.0, 2.9750183, 51.2082529, 14.0], [1403270870.0, 2.9750471, 51.2082208, 10.0], [1403271047.0, 2.9750282, 51.2082761, 8.0], [1403271222.0, 2.9750489, 51.2082406, 11.0], [1403271398.0, 2.9750511, 51.2082669, 14.0]]",200.0,3,10.3,827.5007441971568,191.22512196929267,-6.349354100921386,-106.95415865894094,-186.21004692717278,214.77977695785015,146.27598677172645,3445.9597141354343,-3.1887908138702112,0.1629670690129016,8.856268226426435,132.7767323021812,132.7767323021812,191.22512196929267
10,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,7.981323709455257,0.0,2014-06-20 13:19:05,2014-06-20 13:45:27,2193,10.0,"[[1403270345.0, 2.975032, 51.208249, 8.0], [1403270518.0, 2.97503, 51.2082306, 12.0], [1403270693.0, 2.9750183, 51.2082529, 14.0], [1403270870.0, 2.9750471, 51.2082208, 10.0], [1403271047.0, 2.9750282, 51.2082761, 8.0], [1403271222.0, 2.9750489, 51.2082406, 11.0], [1403271398.0, 2.9750511, 51.2082669, 14.0], [1403271575.0, 2.9750899, 51.2082624, 9.0], [1403271750.0, 2.9751028, 51.2082348, 9.0], [1403271927.0, 2.9750728, 51.2082577, 15.0]]",200.0,4,11.0,860.7497982284922,196.88862068644164,4.498520950099013,-1.5202712011280906,97.98599271935912,45.21059807831281,7.616703232615315,129.55521095525012,4.498853647722071,0.18401748249129446,9.657692089890421,28.544562876294247,28.544562876294247,196.88862068644164
47,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,19.25631817631004,0.0,2014-06-20 16:08:05,2014-06-20 16:37:25,2210,11.0,"[[1403280485.0, 2.9751204, 51.2081621, 10.0], [1403280661.0, 2.9750522, 51.2082644, 5.0], [1403280837.0, 2.9751725, 51.2081812, 7.0], [1403281016.0, 2.9752079, 51.2081991, 15.0], [1403281189.0, 2.9751962, 51.2082129, 6.0], [1403281365.0, 2.9751594, 51.2082482, 0.0], [1403281541.0, 2.9751871, 51.2082416, 5.0], [1403281717.0, 2.9751692, 51.2082363, 9.0], [1403281893.0, 2.9751703, 51.2082545, 6.0], [1403282069.0, 2.9750761, 51.2083118, 10.0], [1403282245.0, 2.9750811, 51.2083297, 6.0]]",200.0,5,7.181818181818182,1121.4561949196025,186.6904122451835,0.5556939207942497,-73.57011538385933,-209.72449314478104,79.05480257180638,19.25631817642623,-110.17532227955266,-2.4375838502570235,-0.03813850356982369,-2.4838295862133224,44.92587428420489,44.92587428420489,186.6904122451835
48,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,20.073178913087887,0.0,2014-06-20 16:19:49,2014-06-20 16:46:13,2211,10.0,"[[1403281189.0, 2.9751962, 51.2082129, 6.0], [1403281365.0, 2.9751594, 51.2082482, 0.0], [1403281541.0, 2.9751871, 51.2082416, 5.0], [1403281717.0, 2.9751692, 51.2082363, 9.0], [1403281893.0, 2.9751703, 51.2082545, 6.0], [1403282069.0, 2.9750761, 51.2083118, 10.0], [1403282245.0, 2.9750811, 51.2083297, 6.0], [1403282421.0, 2.9751861, 51.208224, 3.0], [1403282596.0, 2.9752369, 51.208192, 0.0], [1403282773.0, 2.9751782, 51.2082402, 8.0]]",200.0,6,5.3,1099.686672562253,179.39392587937363,7.095521233458022,327.5400276843059,-2.2173011325979957,65.81215080137677,3.845430507313028,176.95918158309516,1.2232698249647376,0.02328100985898594,-1.4869754115712999,41.5318531026885,41.5318531026885,179.39392587937363
49,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,20.073178913087887,0.0,2014-06-20 16:28:37,2014-06-20 16:55:00,2212,10.0,"[[1403281717.0, 2.9751692, 51.2082363, 9.0], [1403281893.0, 2.9751703, 51.2082545, 6.0], [1403282069.0, 2.9750761, 51.2083118, 10.0], [1403282245.0, 2.9750811, 51.2083297, 6.0], [1403282421.0, 2.9751861, 51.208224, 3.0], [1403282596.0, 2.9752369, 51.208192, 0.0], [1403282773.0, 2.9751782, 51.2082402, 8.0], [1403282948.0, 2.9751221, 51.2082503, 8.0], [1403283124.0, 2.9751636, 51.2082543, 5.0], [1403283300.0, 2.975151, 51.2082545, 7.0]]",200.0,7,6.2,986.135701744997,174.54509606535416,13.654980285949966,-97.29103374175644,191.32889457372806,58.997648330687625,3.1149680840138374,-222.18071799424817,-1.3019827002877862,-0.20459830184114206,-6.045383555632809,37.244437203815096,37.244437203815096,174.54509606535416
50,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,18.13035230114164,0.0,2014-06-20 16:40:21,2014-06-20 17:06:45,2213,10.0,"[[1403282421.0, 2.9751861, 51.208224, 3.0], [1403282596.0, 2.9752369, 51.208192, 0.0], [1403282773.0, 2.9751782, 51.2082402, 8.0], [1403282948.0, 2.9751221, 51.2082503, 8.0], [1403283124.0, 2.9751636, 51.2082543, 5.0], [1403283300.0, 2.975151, 51.2082545, 7.0], [1403283477.0, 2.9751853, 51.2082326, 3.0], [1403283652.0, 2.9750493, 51.2082913, 6.0], [1403283828.0, 2.97511, 51.2082666, 8.0], [1403284005.0, 2.9751342, 51.2082474, 4.0]]",200.0,8,5.2,800.006698199669,200.1520436857022,-2.2867624119864725,-132.91430847334618,3.3120478962327127,54.15753949895484,4.5653042903708245,-135.30475053770624,0.6313131313131319,0.1164050492949297,-2.814846170899103,34.19569961451268,34.19569961451268,200.1520436857022
51,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,156.14905467642666,0.0,2014-06-20 16:49:08,2014-06-20 17:15:33,2214,10.0,"[[1403282948.0, 2.9751221, 51.2082503, 8.0], [1403283124.0, 2.9751636, 51.2082543, 5.0], [1403283300.0, 2.975151, 51.2082545, 7.0], [1403283477.0, 2.9751853, 51.2082326, 3.0], [1403283652.0, 2.9750493, 51.2082913, 6.0], [1403283828.0, 2.97511, 51.2082666, 8.0], [1403284005.0, 2.9751342, 51.2082474, 4.0], [1403284181.0, 2.9751847, 51.2082526, 6.0], [1403284357.0, 2.975142, 51.2082381, 7.0], [1403284533.0, 2.9764792, 51.2091654, 76.0]]",200.0,9,13.0,792.9569749507612,157.98035008079063,-3.2869040277772923,-314.7506222396105,-28.981954025579554,196.54453854943966,154.6462486918303,4028.3422034640075,42.968649366954466,0.18401748249129446,3.3662017780114066,124.08803474729638,124.08803474729638,157.98035008079063
