,Dynamic Overlap,Static Overlap,No Overlap Static
avg_height,44.12816512428766,40.64898051597926,40.448440876813834
turn_rate,0.0,0.0,0.0
bearing,100.0,100.0,100.0
trajectory_curvature,3.750870545651659,7.400867888955267,6.699623794731688
angular_acceleration,0.0,0.0,0.0
angular_velocity,0.5810060718685026,0.17147977560229533,0.1722237936968154
distance_traveled,24.37226285180921,23.041381744555288,23.282648965730164
displacement,7.160437613859793,18.180869228767655,17.549783883914788
jerk,0.0,0.0,0.0
vertical_acceleration,5.58896608028865,5.303893307978647,4.552660113617613
up_down_direction,99.53488372093022,100.0,100.0
angle_to_horizon,95.70881710650644,97.21660945073639,96.66727249886883
average_speed,9.124647073809998,9.374616906884293,9.455218867123966
average_velocity_magnitude,9.124647073809998,9.374616906884293,9.455218867123966
average_velocity_direction,100.0,100.0,100.0
