,Dynamic Overlap,Static Overlap,No Overlap Static
avg_height,2.1505376344086025,3.1347962382445136,2.848101265822785
turn_rate,0.0,0.0,0.0
bearing,100.0,100.0,100.0
trajectory_curvature,0.4480286738351254,0.522466039707419,0.949367088607595
angular_acceleration,0.0,0.0,0.0
angular_velocity,0.0,0.3134796238244514,0.31645569620253167
distance_traveled,33.42293906810036,10.658307210031348,10.759493670886076
displacement,0.2688172043010753,0.3134796238244514,0.6329113924050633
jerk,0.0,0.0,0.0
vertical_acceleration,8.333333333333332,6.0606060606060606,4.430379746835443
up_down_direction,100.0,100.0,100.0
angle_to_horizon,95.87813620071685,88.92371995820272,91.77215189873418
average_speed,0.35842293906810035,1.2539184952978055,0.949367088607595
average_velocity_magnitude,0.35842293906810035,1.2539184952978055,0.949367088607595
average_velocity_direction,100.0,100.0,100.0
