avg_height,turn_rate,bearing,trajectory_curvature,angular_acceleration,angular_velocity,distance_traveled,displacement,jerk,vertical_acceleration,up_down_direction,angle_to_horizon,average_speed,average_velocity_magnitude,average_velocity_direction,new_cluster_label,matches_homing_pigeon
255.45,28805.549705248042,283.5294943979943,0.27313713295352804,1167.9332990426105,2699.5223100345675,913.2334944989284,804.3697073351495,-9822087.06188175,525.4237288135595,0.8240104378223339,1.4775420138081303,15478.533805066583,15478.533805066583,283.5294943979943,0,False
260.7,24100.771506588608,280.1633463242906,-0.08162459846941846,51.41716175359346,-1872.349870240578,969.6769163957746,656.5550647322398,-28132918.61801509,305.08474576271203,0.37474424284453556,1.1788641565870708,16435.201972809744,16435.201972809744,280.1633463242906,1,False
263.78333333333336,26108.247120946384,261.23778877350077,-0.06108712602469724,47.738515789162584,-1798.207840430902,983.4344896526122,471.3672405018736,52234962.36250473,288.13559322033854,0.23606068793374926,1.0997092206099184,16668.381180552755,16668.381180552755,261.23778877350077,2,False
267.03333333333336,26556.557003245543,235.8198096958565,-0.0490517470700313,308.11451671736586,-1636.6858183035415,970.9885355142193,438.1135408127595,15318479.860148104,288.1355932203393,0.35759570605728935,1.1386946916036031,16457.432805325752,16457.432805325752,235.8198096958565,3,False
271.4166666666667,27100.746422693435,211.3955103557086,-0.13007329308097756,6086.449912021135,-2798.508825013633,954.5614015093595,613.9202203613153,-913061.8831658489,389.8305084745758,0.6521977291238623,1.4804570896220721,16179.006805243383,16179.006805243383,211.3955103557086,4,False
274.0,14941.565225406275,207.6895805911499,-0.020948636339949932,264.0501069015874,-585.019367778319,838.8050805876967,713.7986348331971,44316566.77518168,288.4615384615379,0.8439808525551561,1.2193825954663426,16130.866934378784,16130.866934378784,207.6895805911499,5,False
277.14285714285717,11404.936799017212,195.21757585425158,-0.14823546157297007,-3051.6341313369594,-1821.2310910351625,95.31102440690778,92.20463366677525,224577371.7656889,166.66666666666666,0.3086066999241839,0.4630056575125476,15885.170734484629,15885.170734484629,195.21757585425158,6,False
277.7317073170732,12722.330954930138,204.2665979499878,-0.12388979407673298,-57.58135772907821,-2131.511191134924,644.2236362256215,556.0296342088329,-129673424.04776525,350.0000000000006,0.8349275683903161,1.4842114009188443,16105.590905640536,16105.590905640536,204.2665979499878,7,False
273.63157894736844,12194.106591938975,178.2580930825545,-0.22168396079968034,-2826.7662942190022,-3685.2816064432536,296.80443050647443,267.2959285033729,37252173.843864545,-444.4444444444444,-0.7530067018203284,-1.525004276355662,16489.13502813747,16489.13502813747,178.2580930825545,8,False
282.17241379310343,12797.481407009247,200.55166907680822,-0.11993091001139146,891.7955755233046,-1569.5616450786677,448.6368116115075,388.12102386217657,81276167.00135957,214.28571428571374,0.7391781505732563,1.0032957963007736,16022.743271839548,16022.743271839548,200.55166907680822,9,False
