,Dynamic Overlap,Static Overlap,No Overlap Static
avg_height,79.26551200615955,40.64898051597926,40.448440876813834
turn_rate,0.0,0.0,0.0
bearing,100.0,100.0,100.0
trajectory_curvature,14.431692383462769,7.400867888955267,6.699623794731688
angular_acceleration,0.0,0.0,0.0
angular_velocity,0.33583639770879004,0.17147977560229533,0.1722237936968154
distance_traveled,45.40116548317382,23.041381744555288,23.282648965730164
displacement,35.45269499609692,18.180869228767655,17.549783883914788
jerk,0.0,0.0,0.0
vertical_acceleration,10.342591950558361,5.303893307978647,4.552660113617613
up_down_direction,100.0,100.0,100.0
angle_to_horizon,100.0,97.21660945073639,96.66727249886883
average_speed,18.437676790891732,9.374616906884293,9.455218867123966
average_velocity_magnitude,18.437676790891732,9.374616906884293,9.455218867123966
average_velocity_direction,100.0,100.0,100.0
Overall Success (%),41.47365645326291,34.04755438175622,33.88553944410811
