Unnamed: 0,cluster_label,silhouette_score,davies_bouldin_score,calinski_harabasz_score,clusters_in_window,win_eps,min_dist_between_points,min_dist_between_centroids,max_dist_in_cluster,min_dist_in_cluster,first_timestamp,last_timestamp,win_number,cluster_size,points,Selected EPS,new_cluster_label,avg_height,turn_rate,bearing,trajectory_curvature,angular_acceleration,angular_velocity,distance_traveled,displacement,jerk,vertical_acceleration,up_down_direction,angle_to_horizon,average_speed,average_velocity_magnitude,average_velocity_direction
4,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,164.4866227191395,0.0,2014-06-20 12:48:39,2014-06-20 13:15:35,730,10.0,"[[1403268519.0, 2.9751293, 51.2079601, 59.0], [1403268694.0, 2.9753258, 51.2079711, 26.0], [1403268869.0, 2.9752054, 51.2083074, 15.0], [1403269071.0, 2.9755281, 51.2081814, 44.0], [1403269254.0, 2.9750397, 51.2082575, 2.0], [1403269430.0, 2.9750823, 51.2082257, 7.0], [1403269606.0, 2.9750723, 51.2082671, 7.0], [1403269781.0, 2.9769612, 51.2088121, 18.0], [1403269959.0, 2.9749271, 51.2082962, 8.0], [1403270135.0, 2.9748243, 51.208204, 0.0]]",200.0,0,18.6,1054.1436147989875,206.4119919732226,-3.270679166914,-220.37598294263393,82.61296669937356,494.39655564484167,68.32248369429803,-3507.932949372774,-38.637833187050006,-0.49441323247304414,-5.625064848356029,307.3165423600518,307.3165423600518,206.4119919732226
5,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,7.981323709455257,0.0,2014-06-20 13:19:05,2014-06-20 13:45:27,731,10.0,"[[1403270345.0, 2.975032, 51.208249, 8.0], [1403270518.0, 2.97503, 51.2082306, 12.0], [1403270693.0, 2.9750183, 51.2082529, 14.0], [1403270870.0, 2.9750471, 51.2082208, 10.0], [1403271047.0, 2.9750282, 51.2082761, 8.0], [1403271222.0, 2.9750489, 51.2082406, 11.0], [1403271398.0, 2.9750511, 51.2082669, 14.0], [1403271575.0, 2.9750899, 51.2082624, 9.0], [1403271750.0, 2.9751028, 51.2082348, 9.0], [1403271927.0, 2.9750728, 51.2082577, 15.0]]",200.0,1,11.0,860.7497982284922,196.88862068644164,4.498520950099013,-1.5202712011280906,97.98599271935912,45.21059807831281,7.616703232615315,129.55521095525012,4.498853647722071,0.18401748249129446,9.657692089890421,28.544562876294247,28.544562876294247,196.88862068644164
19,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,20.073178913087887,0.0,2014-06-20 16:19:49,2014-06-20 16:46:13,737,10.0,"[[1403281189.0, 2.9751962, 51.2082129, 6.0], [1403281365.0, 2.9751594, 51.2082482, 0.0], [1403281541.0, 2.9751871, 51.2082416, 5.0], [1403281717.0, 2.9751692, 51.2082363, 9.0], [1403281893.0, 2.9751703, 51.2082545, 6.0], [1403282069.0, 2.9750761, 51.2083118, 10.0], [1403282245.0, 2.9750811, 51.2083297, 6.0], [1403282421.0, 2.9751861, 51.208224, 3.0], [1403282596.0, 2.9752369, 51.208192, 0.0], [1403282773.0, 2.9751782, 51.2082402, 8.0]]",200.0,2,5.3,1099.686672562253,179.39392587937363,7.095521233458022,327.5400276843059,-2.2173011325979957,65.81215080137677,3.845430507313028,176.95918158309516,1.2232698249647376,0.02328100985898594,-1.4869754115712999,41.5318531026885,41.5318531026885,179.39392587937363
20,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,156.14905467642666,0.0,2014-06-20 16:49:08,2014-06-20 17:15:33,738,10.0,"[[1403282948.0, 2.9751221, 51.2082503, 8.0], [1403283124.0, 2.9751636, 51.2082543, 5.0], [1403283300.0, 2.975151, 51.2082545, 7.0], [1403283477.0, 2.9751853, 51.2082326, 3.0], [1403283652.0, 2.9750493, 51.2082913, 6.0], [1403283828.0, 2.97511, 51.2082666, 8.0], [1403284005.0, 2.9751342, 51.2082474, 4.0], [1403284181.0, 2.9751847, 51.2082526, 6.0], [1403284357.0, 2.975142, 51.2082381, 7.0], [1403284533.0, 2.9764792, 51.2091654, 76.0]]",200.0,3,13.0,792.9569749507612,157.98035008079063,-3.2869040277772923,-314.7506222396105,-28.981954025579554,196.54453854943966,154.6462486918303,4028.3422034640075,42.968649366954466,0.18401748249129446,3.3662017780114066,124.08803474729638,124.08803474729638,157.98035008079063
21,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,255.03323200924012,0.0,2014-06-20 17:18:28,2014-06-20 17:45:10,739,10.0,"[[1403284708.0, 2.976774, 51.2095968, 15.0], [1403284885.0, 2.9749595, 51.2090911, 63.0], [1403285061.0, 2.9749615, 51.2081928, 4.0], [1403285253.0, 2.9749159, 51.2081513, 10.0], [1403285429.0, 2.9749928, 51.2081757, 12.0], [1403285605.0, 2.975011, 51.2083524, 6.0], [1403285781.0, 2.9749869, 51.2082413, 17.0], [1403285958.0, 2.9750579, 51.2082544, 21.0], [1403286137.0, 2.9749912, 51.2082038, 12.0], [1403286310.0, 2.974795, 51.2077637, 82.0]]",200.0,4,24.2,543.6497191106014,153.75526571348,-0.7016151994943289,28.3114722983324,-26.879216208850295,418.7999209405854,255.03323200935918,2712.593072270039,42.658412569736285,0.26967994498529685,10.531029835126727,264.2407960562779,264.2407960562779,153.75526571348
32,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,80.90415028942289,0.0,2014-06-20 19:47:31,2014-06-20 20:14:43,744,10.0,"[[1403293651.0, 2.9745949, 51.207889, 11.0], [1403293828.0, 2.97463, 51.2078309, 16.0], [1403294004.0, 2.9745507, 51.2078255, 20.0], [1403294200.0, 2.9745685, 51.2078381, 13.0], [1403294371.0, 2.974688, 51.2078147, 15.0], [1403294582.0, 2.9750137, 51.2082364, 12.0], [1403294754.0, 2.9751141, 51.2081635, 12.0], [1403294931.0, 2.9750424, 51.2082018, 9.0], [1403295107.0, 2.9751684, 51.2084363, 11.0], [1403295283.0, 2.9751341, 51.208446, 15.0]]",200.0,5,13.4,926.821561289735,151.14630244227138,-4.06370208333896,138.1296165919307,79.65496316709925,134.0377925066417,72.54607699942702,-771.1581423971742,3.320136454024477,-0.27602622373694163,5.273217546746802,78.95515859785795,78.95515859785795,151.14630244227138
33,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,10.986801532443986,0.0,2014-06-20 20:17:39,2014-06-20 20:47:15,745,11.0,"[[1403295459.0, 2.9751544, 51.2084346, 12.0], [1403295635.0, 2.9751588, 51.2084662, 14.0], [1403295812.0, 2.9752136, 51.2084816, 10.0], [1403295998.0, 2.9752276, 51.2084788, 7.0], [1403296179.0, 2.9752061, 51.2084619, 5.0], [1403296355.0, 2.9751503, 51.2084583, 12.0], [1403296531.0, 2.9751629, 51.2084926, 15.0], [1403296707.0, 2.9751508, 51.2084549, 11.0], [1403296883.0, 2.9751387, 51.2084611, 14.0], [1403297060.0, 2.97512, 51.2084402, 13.0], [1403297235.0, 2.975133, 51.2084758, 13.0]]",200.0,6,11.454545454545455,690.9361323300677,139.69740491306283,-0.3971443697745182,-174.66233534150206,0.9818189423620728,45.04072003572858,4.920374671398462,-11.660782919704161,0.7072656414407914,0.18698939800169145,-2.2452507201170615,25.430883917357505,25.430883917357505,139.69740491306283
52,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,12.120198620839506,0.0,2014-06-21 06:48:15,2014-06-21 07:15:11,766,10.0,"[[1403333295.0, 2.9750889, 51.2083099, 15.0], [1403333472.0, 2.975084, 51.2082713, 8.0], [1403333647.0, 2.975075, 51.2082653, 15.0], [1403333835.0, 2.9750625, 51.2083062, 18.0], [1403334015.0, 2.9750442, 51.2082457, 9.0], [1403334192.0, 2.9750752, 51.2082453, 9.0], [1403334367.0, 2.9750652, 51.2082673, 12.0], [1403334543.0, 2.9750942, 51.2082398, 11.0], [1403334730.0, 2.9750868, 51.2082692, 10.0], [1403334911.0, 2.9750635, 51.2082909, 6.0]]",200.0,7,11.3,773.3950370130922,245.17809289152441,12.312571098544481,-58.85311031644538,108.85057145403573,50.39842272699051,9.412459832169109,85.42870816004577,-5.508508658446704,-0.29553088043720516,-4.239886921861498,31.224209999275622,31.224209999275622,245.17809289152441
58,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,259.1146276481368,0.0,2014-06-21 08:17:35,2014-06-21 08:44:47,769,10.0,"[[1403338655.0, 2.9749845, 51.2081722, 7.0], [1403338833.0, 2.9749977, 51.208084, 8.0], [1403339018.0, 2.9750683, 51.2081173, 19.0], [1403339198.0, 2.9750339, 51.2081221, 14.0], [1403339384.0, 2.9749871, 51.2082248, 14.0], [1403339585.0, 2.9749985, 51.2081248, 17.0], [1403339758.0, 2.9749553, 51.2080899, 11.0], [1403339934.0, 2.9745574, 51.2082088, 6.0], [1403340110.0, 2.9715616, 51.2084319, -60.0], [1403340287.0, 2.9737062, 51.2084935, -32.0]]",200.0,8,0.4,626.2226915295578,211.9614644204388,1.8746659109393786,-61.58726185242028,-66.23370159353802,462.80299753447633,103.57245756711164,-1880.5305961030547,-25.297116566040646,-0.35957325998039574,-3.7315376029643264,289.87069876456525,289.87069876456525,211.9614644204388
59,0.0,-0.4440505046109351,13.730431950141456,0.0019056310612458,2.0,200.0,inf,inf,469.3702484694271,0.0,2014-06-21 08:47:41,2014-06-21 09:17:01,770,10.0,"[[1403340461.0, 2.9750826, 51.2080848, 17.0], [1403340819.0, 2.9749348, 51.2081331, -10.0], [1403340989.0, 2.97352, 51.206769, -245.0], [1403341167.0, 2.9738768, 51.2072501, -80.0], [1403341342.0, 2.9753205, 51.2084865, 52.0], [1403341521.0, 2.9763427, 51.2083549, 143.0], [1403341697.0, 2.9753734, 51.2077797, 30.0], [1403341869.0, 2.9750543, 51.2082299, 2.0], [1403342046.0, 2.9750609, 51.2082425, 10.0], [1403342221.0, 2.9751213, 51.2083225, 17.0]]",200.0,9,-6.4,623.5552342993362,142.15276702251558,-0.701331562614635,128.98759771252665,-174.13186682666327,1061.2281240124596,26.568170823124145,415.4779002678107,1.3579496657716836,0.17978662999019787,4.919582285051373,666.3617497901644,666.3617497901644,142.15276702251558
