,cluster_label,silhouette_score,davies_bouldin_score,calinski_harabasz_score,clusters_in_window,win_eps,min_dist_between_points,min_dist_between_centroids,max_dist_in_cluster,first_timestamp,last_timestamp,win_number,cluster_size,points,Selected EPS
10,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,413.31933401535866,2012-02-14 05:05:09,2012-02-14 06:00:40,9,12.0,"[[1329195909.0, 36.705407, 3.954698, 672.0], [1329196210.0, 36.705835, 3.954345, 652.3], [1329196510.0, 36.705773, 3.954026, 652.7], [1329196810.0, 36.705883, 3.953906, 653.4], [1329197108.0, 36.705955, 3.953657, 653.3], [1329197408.0, 36.706139, 3.953387, 652.1], [1329197708.0, 36.706216, 3.953028, 656.0], [1329198010.0, 36.706111, 3.952361, 666.6], [1329198311.0, 36.706363, 3.951856, 638.2], [1329198610.0, 36.706424, 3.951556, 658.4], [1329198914.0, 36.706433, 3.951483, 652.9], [1329199240.0, 36.706495, 3.951147, 653.1]]",200.0
11,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,381.6951236374593,2012-02-14 05:25:08,2012-02-14 06:20:09,10,12.0,"[[1329197108.0, 36.705955, 3.953657, 653.3], [1329197408.0, 36.706139, 3.953387, 652.1], [1329197708.0, 36.706216, 3.953028, 656.0], [1329198010.0, 36.706111, 3.952361, 666.6], [1329198311.0, 36.706363, 3.951856, 638.2], [1329198610.0, 36.706424, 3.951556, 658.4], [1329198914.0, 36.706433, 3.951483, 652.9], [1329199240.0, 36.706495, 3.951147, 653.1], [1329199508.0, 36.706397, 3.950771, 652.0], [1329199810.0, 36.706342, 3.950357, 657.2], [1329200109.0, 36.706279, 3.95029, 654.7], [1329200409.0, 36.706248, 3.950237, 657.4]]",200.0
12,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,296.52057582767554,2012-02-14 05:45:11,2012-02-14 06:40:07,11,12.0,"[[1329198311.0, 36.706363, 3.951856, 638.2], [1329198610.0, 36.706424, 3.951556, 658.4], [1329198914.0, 36.706433, 3.951483, 652.9], [1329199240.0, 36.706495, 3.951147, 653.1], [1329199508.0, 36.706397, 3.950771, 652.0], [1329199810.0, 36.706342, 3.950357, 657.2], [1329200109.0, 36.706279, 3.95029, 654.7], [1329200409.0, 36.706248, 3.950237, 657.4], [1329200709.0, 36.70609, 3.950001, 654.8], [1329201009.0, 36.706187, 3.949762, 652.7], [1329201307.0, 36.706328, 3.9493, 653.1], [1329201607.0, 36.706383, 3.949193, 653.6]]",200.0
13,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,189.23648307641287,2012-02-14 06:05:08,2012-02-14 07:00:09,12,12.0,"[[1329199508.0, 36.706397, 3.950771, 652.0], [1329199810.0, 36.706342, 3.950357, 657.2], [1329200109.0, 36.706279, 3.95029, 654.7], [1329200409.0, 36.706248, 3.950237, 657.4], [1329200709.0, 36.70609, 3.950001, 654.8], [1329201009.0, 36.706187, 3.949762, 652.7], [1329201307.0, 36.706328, 3.9493, 653.1], [1329201607.0, 36.706383, 3.949193, 653.6], [1329201911.0, 36.706301, 3.949222, 646.8], [1329202208.0, 36.706214, 3.949079, 653.0], [1329202507.0, 36.706291, 3.949175, 649.5], [1329202809.0, 36.706288, 3.949215, 650.7]]",200.0
14,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,116.96410929042217,2012-02-14 06:25:09,2012-02-14 07:20:08,13,12.0,"[[1329200709.0, 36.70609, 3.950001, 654.8], [1329201009.0, 36.706187, 3.949762, 652.7], [1329201307.0, 36.706328, 3.9493, 653.1], [1329201607.0, 36.706383, 3.949193, 653.6], [1329201911.0, 36.706301, 3.949222, 646.8], [1329202208.0, 36.706214, 3.949079, 653.0], [1329202507.0, 36.706291, 3.949175, 649.5], [1329202809.0, 36.706288, 3.949215, 650.7], [1329203108.0, 36.706221, 3.949386, 658.5], [1329203408.0, 36.706133, 3.949264, 651.6], [1329203708.0, 36.706181, 3.949153, 652.6], [1329204008.0, 36.706467, 3.949019, 651.9]]",200.0
15,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,77.62295954738923,2012-02-14 06:45:11,2012-02-14 07:40:06,14,12.0,"[[1329201911.0, 36.706301, 3.949222, 646.8], [1329202208.0, 36.706214, 3.949079, 653.0], [1329202507.0, 36.706291, 3.949175, 649.5], [1329202809.0, 36.706288, 3.949215, 650.7], [1329203108.0, 36.706221, 3.949386, 658.5], [1329203408.0, 36.706133, 3.949264, 651.6], [1329203708.0, 36.706181, 3.949153, 652.6], [1329204008.0, 36.706467, 3.949019, 651.9], [1329204312.0, 36.706826, 3.949172, 648.3], [1329204608.0, 36.706573, 3.949392, 648.4], [1329204909.0, 36.706644, 3.949416, 650.9], [1329205206.0, 36.706558, 3.949285, 651.3]]",200.0
16,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,77.62295954738923,2012-02-14 07:05:08,2012-02-14 08:00:09,15,12.0,"[[1329203108.0, 36.706221, 3.949386, 658.5], [1329203408.0, 36.706133, 3.949264, 651.6], [1329203708.0, 36.706181, 3.949153, 652.6], [1329204008.0, 36.706467, 3.949019, 651.9], [1329204312.0, 36.706826, 3.949172, 648.3], [1329204608.0, 36.706573, 3.949392, 648.4], [1329204909.0, 36.706644, 3.949416, 650.9], [1329205206.0, 36.706558, 3.949285, 651.3], [1329205507.0, 36.706503, 3.949142, 652.0], [1329205806.0, 36.70646, 3.949064, 647.8], [1329206109.0, 36.706539, 3.949149, 652.2], [1329206409.0, 36.706647, 3.949167, 649.6]]",200.0
17,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,57.8371730289823,2012-02-14 07:25:12,2012-02-14 08:20:09,16,12.0,"[[1329204312.0, 36.706826, 3.949172, 648.3], [1329204608.0, 36.706573, 3.949392, 648.4], [1329204909.0, 36.706644, 3.949416, 650.9], [1329205206.0, 36.706558, 3.949285, 651.3], [1329205507.0, 36.706503, 3.949142, 652.0], [1329205806.0, 36.70646, 3.949064, 647.8], [1329206109.0, 36.706539, 3.949149, 652.2], [1329206409.0, 36.706647, 3.949167, 649.6], [1329206711.0, 36.706536, 3.949235, 649.3], [1329207008.0, 36.70651, 3.949173, 655.1], [1329207306.0, 36.706512, 3.949124, 650.2], [1329207609.0, 36.706571, 3.948902, 654.5]]",200.0
18,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,62.363467952278896,2012-02-14 07:45:07,2012-02-14 08:40:08,17,12.0,"[[1329205507.0, 36.706503, 3.949142, 652.0], [1329205806.0, 36.70646, 3.949064, 647.8], [1329206109.0, 36.706539, 3.949149, 652.2], [1329206409.0, 36.706647, 3.949167, 649.6], [1329206711.0, 36.706536, 3.949235, 649.3], [1329207008.0, 36.70651, 3.949173, 655.1], [1329207306.0, 36.706512, 3.949124, 650.2], [1329207609.0, 36.706571, 3.948902, 654.5], [1329207910.0, 36.70648, 3.948677, 650.2], [1329208209.0, 36.706649, 3.948691, 653.4], [1329208508.0, 36.706568, 3.948844, 652.9], [1329208808.0, 36.706708, 3.948941, 651.6]]",200.0
19,0.0,-1.0,-1.0,-1.0,1.0,200.0,inf,inf,149.83714977500148,2012-02-14 08:05:11,2012-02-14 09:00:09,18,12.0,"[[1329206711.0, 36.706536, 3.949235, 649.3], [1329207008.0, 36.70651, 3.949173, 655.1], [1329207306.0, 36.706512, 3.949124, 650.2], [1329207609.0, 36.706571, 3.948902, 654.5], [1329207910.0, 36.70648, 3.948677, 650.2], [1329208209.0, 36.706649, 3.948691, 653.4], [1329208508.0, 36.706568, 3.948844, 652.9], [1329208808.0, 36.706708, 3.948941, 651.6], [1329209110.0, 36.70643, 3.94898, 652.0], [1329209408.0, 36.706462, 3.948756, 651.8], [1329209707.0, 36.706409, 3.948403, 653.4], [1329210009.0, 36.70653, 3.947888, 653.4]]",200.0
